 âba _babalar pederler 
 abd _  kul, köle, hizmetçi.  
 temlik _  mâlik olma, mal sahibi olma.  
 temsilât _ temsiller, örnekler.  
 temsil _  örnek, birşeyin âynısını. veya mislini yapma, benzetme.  
 temsil-i cüz'i _ küçük bir misâl.  
 temsil-i durbin _  uzağı yakınlaştırma misâlleri.  
 temsil-i itâat _  itaati gösteren misâl.  
 temsilât _ temsiller, örnekler.  
 temsilât-ı maddiye _  maddî ve müşahhas misâller. Deney tarzında.  
 temsil _  göz, akıl ve hayalde canlandırıcı.  
 temyiz _  bir şeyi diğerlerinden seçip tarif etmek, ayırmak.  
 temzic _  karıştırmak, katmak. Mezcetmek.  
 tenâkus _  eksilme, kesilme.  
 tenâsi _  birbirinin karşısına dûşmek; unutmak.  
 tenâsuh _  İslâm dışında olan bâtıl bir fırkanın "ruh bir bedenden başka birinin bedenine. intikâl eder" şeklindeki inanışı.  
 tenâsüb _  uygunluk, uyma, tutma; yakınlaşma.  
 tenâsühvâri _  ruhun bir başka vücuda geçtiği,inancı gibi (sapık bir. inanç).  
 tenâsül _ türeme, nesil yetiştirme, üreme, birbirinden doğup üreme.  
 tenâum _  nîmetlenme.  
 tenâzu' _  çekişmek. Kavga etmek.  
 tenbih _  ikaz. Nasihat.  
 tenebbüh _  uyanış, yeşerme.  
 teneffüs _  nefes alma, dinlenme, soluklanma.  
 tenevvü _  çeşitlenme, çeşit çeşit olma.  
 tenevvü-ü esmâ _  isimlerin çeşit çeşit olması.  
 tenevvü-ü şerâyin _  şeriatın çeşitlenmesi. Kanunların çeşitlenmesi.  
 tenevvülat _  çeşitlenmeler, çeşit çeşit olmalar.  
 tenevvür _  bir şey hakkında bilgi sahibi olmak, nurlanmak, aydınlanmak.  
 tenezzüh _  gezinti ba ve bahçe gibi yerlere gam ve kederi izâle için çıkma, kusur ve noksandan temizlenme.  
 tenezzül _  bulunduğu seviyeden daha aşağıya inme, alçak gönüllülük gösterme.  
 tenezzülât-ı kelâmiye _  sözün muhatapların seviyelerine uygun olarak ayarlanması ve derin hakikatlarını anlaşılması kolay ifadelerle açıklanması.  
 tenfir _  ürkütme, nefret verme.  
 tenkıs _ eksiltmek, noksanlaştırmak.  
 tenkidât _  tenkidler.  
 tenkit _  eleştiri.  
 tensib _  uygun. görmek, münâsib kılmak.  
 tentene _  dantela. Tül gibi, ince ve şeffaf derecede.  
 tenvim _  uyutmak.  
 tenvin-i tenkiri _  kelimenin belirsizliğini gösteren tenvin işâreti, harf-i târifsiz ("el" takısız) olduğu için tenvinli olan ve nekra denen kelime.  
 tenvir _  aydınlatma, nurlandırma.  
 tenzih _  Allah'ı her çeşit kusur, noksan ve ortaktan uzak bilip söylemek, eksik ve kusurdan uzak sayma.  
 tenzil _  indirme; Kur'ân'ın indirilmesi.  
 terahhum _  acıma, merhamet etme, şefkatte bulunma.  
 terahhümat _  şefkat ve merhametler.  
 terakkiyat-ı mâneviye _  mânevi ilerleme, yükselme 
 terakkî _  ilerleme, yükselme.  
 terakkiyât _  yükselişler, ilerlemeler.  
 terakkiyât-ı beşeriye _  insana âit yükselişler, ilerlemeler.  
 terakkiyât-ı ecnebiye _  yabancıların sağladığı gelişmeler.  
 terakkiyât-ı fenniye _  fenni ilerlemeler, yükselmeler.  
 terakkiyât-ı insâniye _  insanlığın yükselişi, ilerlemeleri.  
 terakkiyât-ı mâneviye _  mânevi yükselmeler.  
 terakkiyât-ı medeniye _  medenî ve teknolojik ilerleme.  
 terakkiyât-ı ruhiye _  ruhen temizlenip terakki etmek.  
 terâkkiyat-ı maddiye _  maddi yükselme ve ilerlemeler.  
 terâvih _  Ramazan gecelerinde kılınan ve sünnet olarak kılınan 20 rekatlık namaz.  
 terbiye _  beslemek, yetiştirmek, büyütmek.  
 terbiye-i ahlakiye _  ahlâk terbiyesi.  
 terbiye-i esâsiye _  temel terbiye.  
 terbiye-i İlahiye _  Allah'ın terbiyesi.  
 terbiye-i medeniye _  maddeci Batı medeniyetinin verdiği eğitim.  
 terbiye-i vâhide _  tek terbiye.  
 terbiyegâh _  terbiye yeri.  
 terbiyekârane _  terbiye edercesine.  
 terbiyet _  terbiye kelimesinin Arapça okunuşu.  
 tercih _  üstün tutmak, bir şeyi diğerinden fazla beğenmek.  
 tercüman _  tercüme eden, çeviren.  
 tercüman-ı âyât _  âyetlerin manasını açıklayan, bildiren.  
 tercüman-ı ebedi _  ebedi tercüman; Kuran, Allah'ın sözü. olduğu için bu ifade kullanılmıştır.  
 tercümân-ı evamir _  emirlerin tercümanı 
 tercümân-ı satı' _  parlak tercüman.  
 tercüme _  bir sözü bir dilden başka bir dile Çevirme 
 tercüme-i ezeliye _  ezeli tercüme; Kur'ân Allah'ın kelamı olduğu, için mânâ itibâriyle ezelidir, yani varlığının başlangıcı yoktur; bütün varlıkların mânâ, mâhiyet ve vazifelerini açıkladığı için de mevcudâtın tercümesi hükmündedir.  
 terdad _  tekrar.  
 tereccüh _  üstünlük, üstün gelme, galip üstünlük.  
 tereddüt _  kararsızlık, bir meselede karar vermeyerek şüphede kalmak.  
 terekküp _  birleşme, bir araya gelme, oluşma.  
 terennüm _  güzel güzel anlatma, güzel sesle yavaş yavaş şarkı söyleme.  
 terennümat-ı hava _  havanın çıkardığı güzel ve tatlı sesler.  
 teres _  "pezevenk" mânasında hakaret sözcüğü.  
 tereşşuh _  sızma, sızıntı, yaşlık.  
 tereşşuhât _  işaretler emâreler deliller; ortaya çıkma, dâmlamalar; sızıntılar.  
 terettüb _  sıralanmak, gerekmek, netice olarak çıkmak, zuhura gelmek, belirli sebeplerin belirli neticeler vermesi.  
 terettüb-ü esbab _  sebeplerin sıralanması. Sebeplerdeki silsile.  
 terettüb-ü netice _  netice olarak ortaya çıkma.  
 terğib _  isteklendirmek, ümit vermek, rağbet verdirmek, şevklendirmek.  
 terhib _  korkutmak, fazla korkutmak.  
 terhis tezkeresi _  askerin, askerlik vazifesinin bittiğini ve serbest hayata geçtiğini belirten resmi vesika 
 terhis _  izin ve ruhsat verme, serbest bırakma, salma, kurtarma.  
 terhisat _  askeri, sivil ve serbest hayata geçirmeler, izin vermeler, serbest bırakmalar.  
 terhisât-ı umumiye _  umumi terhisler, izin vermeler, serbest bırakmalar.  
 terhisat _  terhisler, izin vermeler, serbest bırakmalar.  
 terk i dünya _  dünyayı terk etme, dünya ile ilgilenmeme.  
 terk-i kebair _  günahları terk etmek.  
 terk-i mâsiva _  mevcudâtı, yaratılanları terk etmek, görmezden gelmek ve onları yok farzetmek.  
 terk-i mevki _  yerini, mevkisini terk etmek.  
 terk-i silah _ teslim olma. Elindeki silahı bırakmâk.  
 terkibât _ terkibler, bir kaç şeyin karıştırılmasıyla meydana gelen şeyler.  
 terkibat-ı mevcudât _  varlıkların değişik elementlerin birleşmesiyle meydana gelişleri.  
 terkip _  birkaç şeyin beraber olması; birkaç şeyi karıştırarak başka tür varlık meydana getirmek.  
 tersim _ çizme, resimleme.  
 tersimat _  resimlemeler.  
 tersib _  tortulaştırma, tortu hâlinde biriktirme, tortusunu durultma.  
 tertib-i esbab _  her şeyin bir sebeple bağlı olması.  
 tertib-i mahlukat _ mahlûkatın farklı değerlerde fakat mükemmel bir düzenleme ile yaratılmış olması.  
 tertib-i mebadi _  bir iş için başlangıçta gerekli şartların yerine getirilmesi.  
 tertip _  belli bir sıralama ile düzenleme, sıraya koyma, dizme.  
 terzil _  rezil etme, îtibârını kırma, aşağılama.  
 tesadüf _ rastlantı, rastgele olmak.  
 tesadüfi _  rastgele, tesadüf. olarak.  
 tesadüm _  müsâdeme. Şiddetli çarpışma. Savaşmak.  
 tesallüb _  sağlamlık; dayanıklılık.  
 tesâmu-u umumi _  herkesin bir sözü birbirinden duyması.  
 tesanüd _  dayanışma, birbirini destekleme.  
 tesâvi-i tarafeyn _  iki tarafın birbirine müsâvi olması. Denklik.  
 tesbih _  Allah'ın şânını yüceltme, noksan sıfatlardan uzak tutma mânâsında SübhanAllah deme. Allah'ın zâtında, sıfatında ve fiillerinde bütün noksanlardan uzak olduğunu ifâde etmek 
 tesbih-i İlâhî _  Allah'ı zikir ve tesbih etmek.  
 tesbih-i külli _  küllî ve umumi tesbih.  
 tesbihât _  tesbihler; Allah'ı eksik sıfatlardan uzak tutma ve bütün üstün sıfatların Ona âit olduğunu söyleme mânâsında "SübhanAllah" demeler.  
 tesbihât-ı hususiye _  her varlığın kendi lisanıyla Allah'ı zikir ve tesbih etmesi.  
 tesbihât-ı mahsusa _  hususî tesbihler, lisan-ı mahsusla yapılan zikirler.  
 tesbihat-ı mâneviye _  mânevi tesbihler.  
 tesbihât-ı Nebeviye _  Peygamberimizin (a. s. m. ) tesbihatı.  
 tesbihât-ı Rabbaniye _  Allah'a zikir, tesbih ve dua etmek.  
 tesbihhan _  tesbih eden.  
 tesbihi _  zikirde, takdir ve övgüyle alâkalı kelimeler.  
 tesbit _  sağlam olarak yerleştirme.  
 teselli _  üzüntülü bir kimseyi söz ve öğütte ferahlandırma.  
 teselsül _  zincirleme, silsile halinde; varlıkların birbirini meydana getirdiği veya varlıkların, zincirleme sebeplerin neticesi olduğunu ihtivâ eden batıl bir görüştür ki, buna devir de denir.  
 teselsül -ü ilel _  illetlerin, sebeplerin zincirleme devam etmesi.  
 tesettür _  örtünme.  
 tesettür-ü nisvan _  kadınların örtünmesi.  
 teshil _  kolaylık.  
 teshilat _  kolaylıklar, kolaylaştırmalar.  
 teshir _  itaat ettirmek, boyun eğdirmek, emir altına almak.  
 teshir-i akıl _  aklı teshir etmek, aklın itaat ettirilmesi.  
 teshir -i hava _  hava emir altına alınması, itaat ettirilmesi, boyun eğdirilmesi.  
 teshir-i İlahî _  Allah'ın boyun eğdirmesi, itaat. ettirmesi.  
 teshir-i Rabbaniye _  Allah'ın; mahlukları insana hizmet ettirmesi.  
 teshir-i sehab _  bulutların emre boyun eğdirilmesi.  
 teshir-i Şems _  güneşin hizmete sokulması, vazifelendirilmiş olması.  
 teshirât _  itaat ettirmeler, emre boyun eğdirmeler.  
 tesir _  etki.  
 tesir-i hakîki _  gerçek tesir.  
 tesir-i icâdî _  icâd etme kâbiliyeti.  
 tesir-i üslup _  üslubun tesiri.  
 tesirât _  tesirler.  
 tesirât-ı haricî _  hariçten gelen tesir ve müdahaleler.  
 tesis _  kurmak, temelleştirmek, esaslar koymak.  
 tesis-i İslâmiyet _  İslâmiyetin doğuşu, kuruluşu ve yayılışı, kökleşmesi.  
 teskin _  yatıştırma.  
 teslih _  silahlandırma.  
 teslim _  kendini Allah'ın takdirine terketme, emri altına girme.  
 teslim-i kalb _  kalbin kabul etmesi, doğru. ve hakli bulması.  
 teslim-i ruh _  rûhu teslim etme, ölme.  
 teslim-i silah _  silahı teslim etmek.  
 teslim-i umur _  işlerin teslimi.  
 teslimiyet _  kendini Allah'ın irâdesine bırakma.  
 tesmiye _  isimlendirme; ad verme.  
 tesri' _  hızlandırma. Acele. etme.  
 tesviye _  düzleme, canlıların âzâlarını güzel, düzgün ve tertipli yaratma.  
 teşebbüh _  birbirine benzeme.  
 teşahhus _  şahıslanma; belirlenme; bir şekil ve kimlik kazanma.  
 teşahhusât _  târif edilebilir hâle gelmeler; şahıslanmalar; belirlenmeler.  
 teşahhusât-ı muvakkat _  geçici olan görüntü, şekil ve yaşayış.  
 teşahhusât-ı vechiye _  yüzün, sîmanın belirlenmesi.  
 teşahhusât-ı zâhiriye _  zâhiri şekiller, görünüşteki belirtiler.  
 teşaub _  şube şube olma, şubelere ayrılma, bölümler sahibi olma.  
 teşbih _  benzetmek, benzetilmek; benzetiş; (edebiyatta) aralarında maddi veya mânevi bir münâsebet bulunan iki şeyi birbirine benzetmek sanatı, "Ali aslan gibi kuvvetlidir" cümlesinde olduğu gibi.  
 teşbihat _  benzetmeler, teşbihler, benzetilmeler.  
 teşci _  şecaatlandırma, cesâretlendirme. Bahadırlık.  
 teşebbüh-ü bilvacib _  "Cenâb-ı Hakka benzemek" mânâsında felsefi ifâde.  
 teşebbüs _  bir işe girişmek, sağlam bir niyetle bir şeye başlamak.  
 teşeddüt _  şiddetlenme, sertleşme, kuvvet ve dayanıklılık kazanma, keskinleşme.  
 teşehhüd _  şehâdet, getirmek, Allah'ın varlığını ve birliğini Hz. Muhammed'in (a. s. m. ) Allâh'ın kulu ve resulü olduğunu belirtme.  
 teşekki _  kötü hâlini anlatarak şikâyet etme.  
 teşekkiyât _  şekvada. bulunmalar, şikâyetler.  
 teşekkül _  meydana gelme, şekillenme, şekil alma.  
 teşekkük-ü ervah _  ruhların teşekkülü, meydana gelmesi.  
 teşekkülat _  teşekküller, meydana gelmeler.  
 teşekkürat _  teşekkürler.  
 teşettüt _  çatallaşma, perişaniyet.  
 teşhir _  sergileme, gösterme.  
 teşhirgâh _  sergi, teşhir yeri.  
 teşhirgâh-ı arz _  dünya sergisi.  
 teşhirgâh-ı nâm _  bütün mahlukat sergisi.  
 teşhis _  şahıslandırma, şekil ve suret verme,. seçme, ayırma, ne olduğunu anlama, tanıma; hastalığın ne olduğunu anlayıp bilme.  
 teşkik _  şüphede bırakmak, şüpheye atmak, şüphe.  
 teşkikât-ı vehmiye _  şüpheli ve sakat düşünce.  
 teşkil _  bir araya getirme, meydana getirmek.  
 teşkilat _  teşkiller, meydana getirmeler; düzenli çalışan birlik.  
 teşri' _  şeriata dayandırma. Yolu açık ve vazıh kılmak.  
 teşrif _  şereflendirmek,. bir yere buyurmak.  
 teşrifât _  resmi kabul ve ziyafetlerdeki kabul merâsimi, protokol.  
 teşrik-i mesâi _  birlikte çalışmak, işbirliği etmek bir işi beraber yapmak.  
 teşvik _  şevklendirmek, cesâret vermek.  
 teşvikât _ teşvikler.  
 teşvikkârâne _  teşvik ederek.  
 teşyi _  uğurlama, yolcu etme.  
 tetâvül _  uzama, zulûm etme, musallat olma.  
 tetebbu _  derinlemesine araştırma, okuma, düşünme, öğrenme.  
 tetimme _  tamam etme, tamamlama, ek.  
 tetimme-i târif _  târifin tamamlayıcısı, ilâvesi.  
 tetkik _ inceden inceye araştırma..  
 tetkik-i ilmi _ ilmi incelik, ayrıntı, derinlik, şerh ve izahlar.  
 tetkikât _  incelemeler.  
 tetkikât-ı felsefe _  felsefenin inceleme ve araştırmaları.  
 tev'em _  ikiz. Benzer. Eş.  
 tevabi _  mâiyet. Tabii olanlar.  
 tevafuk _  uygun gelmek.  
 tavaggul _  çok uğraşma, meşgul olma, bir işin çok ilerisine varmak.  
 tevahhud _  tek olmak, birlik.  
 tevahhuş _  korkma, ürkme, vahşete düşme, kaçma, çekinmek.  
 tevakkuf _  bağlı olmak, durma, duraklama.  
 tevâtür _  sağlam bilgi haber; bir haberin Sahabeden itibâren üç nesil boyunca yalan söylemelerine ihtimâl olmayan büyük bir kalabalık tarafından nakledilmesi.  
 tevazu _  alçak gönüllülük, kibirsizlik, mahviyet.  
 tevbe _  pişmanlık. Dönüş. Fenalıktan vazgeçiş.  
 tevbegâh _ tevbe edilen yer.  
 tevbih _  azarlamak, kötülemek.  
 tevcih _  yöneltmek, çevirmek.  
 tevdi _ bırakma, emanet verme, teslim etme.  
 teveccüh-ü Ehadiyet _  Allah'ın, "her bir şeyde birliği tecelli etmesi mânâsındaki "Ehadiyyet sıfatıyla bir şeye yönelmesi.  
 teveccüh-ü İlâhi _  Allah'ın sevgisi ve ilgisi.  
 teveccüh _  yönelme, sevgi, ilgi.  
 teveddüd _  peyderpey sevdirmek; dostluk etmek, kendini sevdirme.  
 tevehhüm _  zannetme, evhamlanma, yok olanı var zannetmekle ümitsizliğe ve korkuya düşme.  
 tevehhüm-ü bekai _  bekâ korkusu. Sonsuz yaşama korkusu.  
 tevehhüm-ü ebediyet _  sonsuzluk zannetmek.  
 tevehhüm-ü küfür _  küfür zannetmek 
 tevehhüm-ü zarar _  zarar zannetmek.  
 tevekkül _  sebeplere tevessül ettikten sonra neticesini Allah'a bırakmak, üzerine düşeni yaptıktan sonra gerisini Allah'tan beklemek.  
 tevekkül-ü şer'i _  şeriatın hükümlerine teslim olma.  
 tevellüd _  doğma, doğum, doğmuşluk, doğurganlık.  
 tevellüdât-ı hayvaniye _  hayvan doğumları.  
 tevessü _  genişleme, yayılma, çatlama.  
 tevessü-i tesir _  genişleme, gelişmenin tesiri.  
 tevfîk _  Allah'ın kuluna yardım etmesi.  
 tevfîk-ı hareket _  uygun hareket.  
 tevfîk-i İlâhi _  Allah'ın yardımı ve başarıya ulaştırması.  
 tevfîk-i İlâhiye _  Allah'ın, yardımıyla başarıya ulaştırması.  
 Tevhid _  birleme Allah'ın bir olduğuna ve Ondan başka ilâh olmadığına inanma.  
 Tevhid-i hakiki _  gerçek tevhid, taklidden ibâret olmayan tevhid; Allah'a, varlığını gösteren delillerle, isim ve sıfatlarıyla inanma.  
 Tevhid-i Hâlık _  Yaratıcının bir bilinmesi, kabul edilmesi; Allah'ın birliği.  
 Tevhid-i İlâhi _  Allah'ın birliğine iman ve ondan başka ilah olmadığını. tasdik etme.  
 tevhid-i şuhud _  gözle görülebilen Tevhid delilleri.  
 tevhid-i ami _  cahilce inanma 
 Tevhid-i Ulûhiyet _  Allah'ın birliğini gösteren deliller.  
 tevhidkârâne _  tevhidi nazara veren.  
 te'vil at _  te'viller.  
 tevkif _  hapsetmek, durdurmak.  
 tevkil _  vekil tayin etme.  
 tevlid _  doğurma, netice verme.  
 Tevrat _  Hz. Musa'ya (a. s. ) indirilen mukaddes kitap.  
 tevsi _  bollaştırma, genişletme.  
 tevzi _  dağıtma, paylara ayırma.  
 tevziat _  dağıtma, dağıtım 
 tevzin _  ölçülü, uygun.  
 teyakkuz _  uyanıklık.  
 teyid _  kuvvetlendirmek, sağlamlaştırmak, desteklemek.  
 tezyid _  arttırmak, çoğaltmak.  
 tezâhum _  zahmet verme. Birbirine sıkıntı verme.  
 tezâhür-ü Rubûbiyet _  Allah'ın terbiye edicilik sıfatının görünmesi.  
 tezahür _  meydana çıkma, belirme, görünme.  
 tezahürat _  görünmeler, açığa çıkmalar.  
 tezâhürât-ı Cemaliye _  Allah'ın "cemal" sıfatının tezâhürleri.  
 tezâhürât-ı hayatiye _  canlılığın görünüşleri, hayatın görüntüleri.  
 tezat _  ters. Birbiriyle zıt.  
 tezâuf-u sevap _  sevabın kat kat olması. 
 tezayüd _  ziyadeleşme, artma, çoğalma.  
 tezekki _  manen temizlemek, ahlâken yücelmek.  
 tezellül _  zillete katlanmak, aşağılanmak, alçalmak, hor ve hakîr olmak 
 tezevvüc _  evlenmek.  
 tezgâh _  dokuma âleti, iş masası; iş yeri.  
 tezkere _  belge, pusula, bir işe izin verildiğini gösteren vesika.  
 tezkir-i müsellemât _  İslâm'ın kabul ve tasdik edilen genel düsturları.  
 tezkir _  hatırlatma, vazifeli ve Allah'ın emirlerini hatırlatma, vaaz ve nasihat etme tenbih ve îkaz etme.  
 tezkire _  emr-i İlâhiyi hatırlatma, tembih ve ikâz etme.  
 tezkiye _  doğruluğuna şehâdet etmek, temize çıkarma.  
 tezkiye-i nefs _  nefsini temize çıkarma.  
 tezyid _  arttırma, çoğaltma.  
 tezyif _  çürütme, küçük düşürme, küçük görme, alaya alma.  
 tezyin _  süslemek, donatmak, bezemek; güzelleştirme.  
 tezyinât-ı zâhiriye _  dışta görünen süslemeler.  
 tezyinât _  süsler, süslemeler.  
 tıbb-ı Rabbâni _  Allah'ın tıbbı.  
 tılsım _  herkesin bilip çözemediği gizli şey; gizli sır, fevkalâde kuvvet ve tesire sahip olan şey.  
 tılsım-ı hayretfezâ _  hayret verici gizlilik.  
 tılsım-ı kâinat _  kâinatın gizli sırrı, herkesin bilip çözemediği gizli husus.  
 tılsım-ı muğlak _  anlaşılması zor, kapalı gizli şey.  
 tılsım-ı muğlak-ı âlem _  bu âlemin gizli ve sır perdesi ile kaplı yönleri.  
 tılsım-ı müşkülküşâ _  açılması ve anlaşılması zor olan İlâhi gizli mânâları; hakîkatları. açan tılsım.  
 tılsımât-ı Kur'aniye _  Kur'ân'ın fevkalâde kuvvetli ve tesirli duâları.  
 tibyan _  beyan etme,. ifâde etme.  
 ticâret-i azime _  büyük ticâret.  
 ticaretgâh _  ticâret yapılan yer.  
 tilâvet _  okumak, takip etmek.  
 tilmiz _  öğrenci, talebe, çırak, kalfa.  
 tilmiz-i Kur'an _  Kur'ân talebesi.  
 timsal _  model, sembol, örnek, sûret; nümune.  
 timsâl-i aks _  aksinin görüntüsü.  
 timsal-i münevver _  nurlu nümune.  
 timsâl-i rahmet _  rahmet sembolü.  
 timsâl-i suret _  görünüşün numunesi.  
 tinnin _  büyük yılan Ejderha. Ejderha 
 burcu _  (S) şeklinde kıvrılan zincirvâri bir burç.  
 tiryâk _  panzehir, zehirlenmeden veya bir hastalıktan hemen şifâ bulmaya yarayan ilâç.  
